Title Slug,Slug do Título,
Title is required,Título é obrigatório,
To,Para,
To Date,Até a Data,
To Date cannot be before From Date,A data final não pode ser anterior à data de início.,
"To know more about setting up email accounts, click","Para saber mais sobre como configurar contas de email, clique",
Toasts,Notificações,
Top Result,Melhor Resultado,
Total Hold Time,Tempo Total em Espera,
Total Holidays,Total de Feriados,
Total Ticket,Total de Tickets,
Track SLA,Rastrear SLA,
Tuesday,Terça-feira,
Type,Tipo,
Type a message,Digite uma mensagem,
Type emails,Digite os e-mails,
Type something,Digite algo,
URL/Method,URL/Método,
Unpin,Desafixar,
Unpublish,Despublicar,
Update,Atualizar,
Update Account,Atualizar Conta,
Upload Favicon,Fazer upload do Favicon,
Upload Image,Fazer upload de imagem,
Upload Logo,Fazer upload de Logo,
Upload photo,Fazer upload de foto,
User,Usuário,
User Resolution Time,Tempo de Resolução do Usuário,
Username,Nome de Usuário,
Users,Usuários,
Valid From,Válido A Partir De,
Value,Valor,
Via Customer Portal,Via Portal do Cliente,
Video,Vídeo,
"We're excited to have you join us and explore the world of efficient customer support. We are here to transform the way you handle customer inquiries, streamline ticket management, and deliver outstanding service.","Estamos empolgados em tê-lo conosco e em explorar o mundo do suporte ao cliente eficiente. Estamos aqui para transformar a maneira como você lida com consultas de clientes, otimizar a gestão de tickets e oferecer um serviço excepcional.",
Wednesday,Quarta-feira,
Weekly,Semanal,
Weekly Off,Folga Semanal,
Welcome to Frappe Helpdesk! 🎉,Bem-vindo ao Frappe Helpdesk! 🎉,
Width,Largura,
"Width can be in number, pixel or rem (eg. 3, 30px, 10rem)","A largura pode ser um número, em pixels ou rem (ex.: 3, 30px, 10rem)",
Word,Palavra,
Workday,Dia Útil,
Workday {0} has been repeated.,Dia Útil {0} foi repetido,
Workflow,Fluxo de trabalho,
Working Hours,Horas Úteis,
Write something...,Escreva alguma coisa...,
Yearly,Anual,
Yes,Sim,
You are not allowed to access {0},Você não tem permissão para acessar {0},
You are not permitted to add a comment,Você não tem permissão para adicionar comentários,
You are now offline,Você está offline,
You are now online,Você está online,
You have reached the maximum number of agents you can add. Please upgrade your plan to add more agents.,"Você atingiu o número máximo de agentes que pode adicionar. Por favor, atualize seu plano para adicionar mais agentes.",
Your query has been resolved. Thank you for reaching out.,Sua dúvida foi resolvida. Obrigado por entrar em contato.,
added a,adicionou um,
after,depois,
agents,agentes,
assigned you a ticket,atribuiu um ticket a você,
before,antes,
between,entre,
comment,comentário,
contact,contato,
created this ticket,criou este ticket,
example.com,exemplo.com,
has reopened the ticket,reabriu este ticket,
here,aqui,
in,em,
in the system.,no sistema.,
is,é,
is not,não é,
john.doe@example.com,joao.silva@exemplo.com,
like,tipo,
mentioned you in ticket,mencionou você no ticket,
not in,não está em,
not like,não é tipo,
priority,prioridade,
set status to Open,definiu status como Aberto.,
set {0} to {1},definiu {0} para {1},
synonym,sinônimo,
team,equipe,
"this will be used in many places, including login and loading screens. An image with transparent background and a resolution of 160 x 32 is preferred","Isso será usado em muitos lugares, incluindo telas de login e carregamento. Uma imagem com fundo transparente e uma resolução de 160 x 32 é preferida",
type,tipo,
{0} is an invalid email address,{0} é um endereço de e-mail inválido,
{0} is required,{0} é obrigatório,
{0} other activities,{0} outras atividades,
← Previous,← Anterior,
